score,canonical_name,primary_state,locations,employees,revenue_est,year_established,school,special_needs,website,rationale
98.5,Centerville School Trnsprtn,OH,1,175,23216000,1888,1,0,Centerville.K12.Oh.Us,175 emp; $23.2M rev; est 1888 (138y); single; web+phone; school
98.5,San Antonio School Trnsprtn,TX,1,250,11464000,1932,1,0,Saisd.Net,250 emp; $11.5M rev; est 1932 (94y); single; web+phone; school
98.5,Chesterfield Pupil Trnsprtn,VA,1,100,4195000,1870,1,0,Oneccps.Org,100 emp; $4.2M rev; est 1870 (156y); single; web+phone; school
98.5,Canajoharie Schools Trnsprtn,NY,1,60,2357000,1982,1,0,Canajoharieschools.Org,60 emp; $2.4M rev; est 1982 (44y); single; web+phone; school
98.5,Yukon School Transportation,OK,1,60,2177000,1967,1,0,Yukonps.Com,60 emp; $2.2M rev; est 1967 (59y); single; web+phone; school
95.5,Fullington School Bus,PA,4,152,7579000,1908,1,0,Fullingtontours.Com,152 emp; $7.6M rev; est 1908 (118y); small(2-5); web+phone; school
95.5,Leon George II School Buses,PA,1,35,1035000,1989,1,0,Lgschoolbuses.Com,35 emp; $1.0M rev; est 1989 (37y); single; web+phone; school
92.5,School Transportation Sltns,AL,3,269,21647000,1995,1,0,Sts-Transportation.Com,269 emp; $21.6M rev; est 1995 (31y); small(2-5); web+phone; school
92.5,Plainwell Schools Trnsprtn,MI,1,20,674000,1843,1,0,Plainwellschools.Org,20 emp; $0.7M rev; est 1843 (183y); single; web+phone; school
92.5,Scio School Bus Station,OR,1,10,357000,1966,1,0,Scio.K12.Or.Us,10 emp; $0.4M rev; est 1966 (60y); single; web+phone; school
90.5,University Bus Co,NJ,1,80,4362000,1964,1,0,,80 emp; $4.4M rev; est 1964 (62y); single; phone; school
90.5,Troy School Transportation,IL,1,67,3089000,1949,1,0,,67 emp; $3.1M rev; est 1949 (77y); single; phone; school
90.5,School Bus Trnsprtn Dist 7,SC,1,70,2795000,1884,1,0,,70 emp; $2.8M rev; est 1884 (142y); single; phone; school
90.5,MCCSC Schools Transportation,IN,1,53,2146000,2008,1,0,Mccsc.Edu,53 emp; $2.1M rev; est 2008 (18y); single; web+phone; school
88.5,Blue Springs Schools Trnsprtn,MO,1,200,26758000,,1,0,Bssd.Net,200 emp; $26.8M rev; year n/a; single; web+phone; school
88.5,Lakeside School Buses,WI,1,300,20665000,,1,0,Lakesidebuses.Com,300 emp; $20.7M rev; year n/a; single; web+phone; school
88.5,School Tyme Transportation,NJ,1,250,20359000,,1,0,United-Limo.Com,250 emp; $20.4M rev; year n/a; single; web+phone; school
88.5,Ycn School Transportation,MA,1,150,15015000,,1,0,Ycntransportation.Com,150 emp; $15.0M rev; year n/a; single; web+phone; school
88.5,Byram Hills Schools Trnsprtn,NY,1,77,11829000,,1,0,Byramhills.Org,77 emp; $11.8M rev; year n/a; single; web+phone; school
88.5,Yuma Schools TRNSP Ctr,AZ,1,215,9019000,,1,0,Yuma.Org,215 emp; $9.0M rev; year n/a; single; web+phone; school
88.5,Lakota Local Schools Trnsprtn,OH,1,200,8266000,,1,0,Lakotaonline.Com,200 emp; $8.3M rev; year n/a; single; web+phone; school
88.5,Baumann & Sons Buses School,NY,1,100,7141000,,1,0,Abatransportation.Com,100 emp; $7.1M rev; year n/a; single; web+phone; school
88.5,Akron School Trnsprtn Svc,OH,1,150,6070000,,1,0,Akronschools.Com,150 emp; $6.1M rev; year n/a; single; web+phone; school
88.5,Minooka School Transport Dept,IL,1,130,6027000,,1,0,Min201.Org,130 emp; $6.0M rev; year n/a; single; web+phone; school
88.5,Worthington Schools Trnsprtn,OH,1,90,4135000,,1,0,Worthington.K12.Oh.Us,90 emp; $4.1M rev; year n/a; single; web+phone; school
88.5,Averill Park School Trnsprtn,NY,1,100,3902000,,1,0,Averillpark.K12.Ny.Us,100 emp; $3.9M rev; year n/a; single; web+phone; school
88.5,Ashland School Transportation,OR,1,30,3472000,,1,0,Ashland.K12.Or.Us,30 emp; $3.5M rev; year n/a; single; web+phone; school
88.5,Enumclaw School Transportation,WA,1,65,3437000,,1,0,Enumclaw.Wednet.Edu,65 emp; $3.4M rev; year n/a; single; web+phone; school
88.5,Springfield School Trnsprtn,OR,1,80,3227000,,1,0,Sps.Lane.Edu,80 emp; $3.2M rev; year n/a; single; web+phone; school
88.5,Warsaw Schools Trnsprtn Grge,IN,1,90,3225000,,1,0,Gec.Warsawschools.Org,90 emp; $3.2M rev; year n/a; single; web+phone; school
88.5,Mentor School Svc TRNSP,OH,1,75,3146000,,1,0,Memorial.Mentorschools.Net,75 emp; $3.1M rev; year n/a; single; web+phone; school
88.5,Tic School Trnsprtn,MA,1,31,3104000,,1,0,Ccsdistrict.Org,31 emp; $3.1M rev; year n/a; single; web+phone; school
88.5,Elyria Schools Transportation,OH,1,80,3037000,,1,0,Firstbus.Co.Uk,80 emp; $3.0M rev; year n/a; single; web+phone; school
88.5,Booth School-Bus Career,IL,1,58,2988000,,1,0,Chicagobooth.Edu,58 emp; $3.0M rev; year n/a; single; web+phone; school
88.5,Saints Albans School Bus Grge,WV,1,70,2775000,,1,0,Kcs.Kana.K12.Wv.Us,70 emp; $2.8M rev; year n/a; single; web+phone; school
88.5,School Administrative Dist Bus,ME,1,70,2759000,,1,0,Bonnyeagle.Org,70 emp; $2.8M rev; year n/a; single; web+phone; school
88.5,Reynoldsburg Schools-Bus Grge,OH,1,60,2757000,,1,0,Reyn.Org,60 emp; $2.8M rev; year n/a; single; web+phone; school
88.5,Phoenix Schools Dept-Transport,NY,1,75,2703000,,1,0,Phoenixcsd.Org,75 emp; $2.7M rev; year n/a; single; web+phone; school
88.5,Yelm School Transportation,WA,1,66,2653000,,1,0,Ycs.Wednet.Edu,66 emp; $2.7M rev; year n/a; single; web+phone; school
88.5,Fayette County School Corp,IN,1,55,2308000,,1,0,Fayette.K12.In.Us,55 emp; $2.3M rev; year n/a; single; web+phone; school
88.5,New Albany Plains School TRNSP,OH,1,50,2297000,,1,0,Napls.Us,50 emp; $2.3M rev; year n/a; single; web+phone; school
88.5,Johnson School Bus Kewaskum,WI,1,30,2270000,,1,0,Johnsonschoolbus.Com,30 emp; $2.3M rev; year n/a; single; web+phone; school
88.5,School Board North Central Bus,FL,1,50,2013000,,1,0,Polkschoolsfl.Com,50 emp; $2.0M rev; year n/a; single; web+phone; school
88.5,Professional School Of Bus,CA,1,36,2010000,,1,0,Proschool.Com,36 emp; $2.0M rev; year n/a; single; web+phone; school
88.5,R E Wilson & Sons School Bus,MD,1,45,2007000,,1,0,R-Bus.Edan.Io,45 emp; $2.0M rev; year n/a; single; web+phone; school
88.5,Chippewa Hills School Bus Gar,MI,1,55,1913000,,1,0,Chsd.Us,55 emp; $1.9M rev; year n/a; single; web+phone; school
88.5,Schools-Lebanon-Transportation,IN,1,45,1888000,,1,0,Leb.K12.In.Us,45 emp; $1.9M rev; year n/a; single; web+phone; school
88.5,Huron Valley Schools Trnsprtn,MI,1,38,1820000,,1,0,Hvs.Org,38 emp; $1.8M rev; year n/a; single; web+phone; school
88.5,Parkway Schools Trnsprtn Svc,MO,1,39,1733000,,1,0,Edline.Net,39 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Rock Hill School Bus Trnsprtn,SC,1,41,1720000,,1,0,Rock-Hill.K12.Sc.Us,41 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Lancaster School Trnsprtn,OH,1,49,1714000,,1,0,Lancaster.K12.Oh.Us,49 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Erie's Public Schools Trnsprtn,PA,1,50,1702000,,1,0,Eriesd.Org,50 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Bureau Valley School Transport,IL,1,40,1678000,,1,0,Bv340.Org,40 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Lebanon School Corp Trnsprtn,IN,1,35,1664000,,1,0,Leb.K12.In.Us,35 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Elgin Schools Transportation,OR,1,39,1636000,,1,0,Trilliumvalleyfp.Com,39 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Joplin Schools Transportation,MO,1,45,1602000,,1,0,Jhs.Joplinschools.Org,45 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Janet Cioffi School Bus,FL,1,36,1600000,,1,0,Familyfoodrewards.Com,36 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Tania School Bus,FL,1,36,1600000,,1,0,Taniaschoolbus.Com,36 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Olmsted Falls School Bus GRG,OH,1,35,1562000,,1,0,Ofcs.Net,35 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Colorado Transportation School,CO,1,33,1489000,,1,0,Coloradotransportationschool.Com,33 emp; $1.5M rev; year n/a; single; web+phone; school
88.5,Western School-Health & Bus,PA,1,32,1419000,,1,0,Western-School.Com,32 emp; $1.4M rev; year n/a; single; web+phone; school
88.5,Fort Bend School Trnsprtn,TX,1,33,1415000,,1,0,Fortbendisd.Com,33 emp; $1.4M rev; year n/a; single; web+phone; school
