entity_key,canonical_name,locations,size_tier,n_states,states,primary_state,loc_employees_sum,loc_sales_sum,corp_employees,corp_sales,year_established,school,special_needs,charter,parents,website,phone,lead_exec,hq,sample_address,name_variants,nontarget_reason,review_flag,gov_flag,credit_score,is_target
EQT PARTNERS,First Student Inc,413,very-large(50+),39,"NY,IL,CT,PA,CA,MO,OR,MA",NY,31075,4091372000,48000,2759496000,1932,1,0,1,EQT PARTNERS INC,Firststudentinc.Com,(907) 789-7352,Cynthia Dugger (Manager),,,First Student Inc(264); First Student Home To School(40); First Student Charter Bus Rntl(39); First Student(35),PE-owned(EQT PARTNERS INC); national-platform,,0,A+,0
FIRST GROUP AMERICA,First Student Inc,397,very-large(50+),41,"CA,CT,MA,NY,PA,IL,MO,OR",CA,22599,2271631000,0,0,1955,1,1,1,FIRST GROUP AMERICA,Firsttransit.Com,(907) 456-6921,Edwina Jackson (HR Executive),"King Of Prussia, PA","680 S Henderson Rd, King Of Prussia, PA 19406",First Student Inc(258); First Transit Inc(113); First Student Home To School(3); Apple Bus Co(3),national-platform,,1,A+,0
FIRST STUDENT,First Student Inc,390,very-large(50+),40,"CA,MA,IL,CT,NY,OR,MN,NJ",CA,9333,933618000,0,0,1985,1,0,1,,Firststudentinc.Com,(907) 222-5008,Doug Pack (Site Manager),"Anchorage, AK","1217 E 10th Ave, Anchorage, AK 99501",First Student Inc(330); First Student(58); First Student LLC(2),national-platform,,0,B,0
NATIONAL EXPRESS,Durham School Svc,254,very-large(50+),34,"TX,CA,IL,MO,PA,OH,NJ,TN",TX,16822,866056000,20746,2210484000,1917,1,1,1,NATIONAL EXPRESS CORP,Durhamschoolservices.Com,(256) 489-1025,Scott Gillies (HR Executive),"Casa Grande, AZ","2676 N Trekell Rd, Casa Grande, AZ 85122",Durham School Svc(202); National Express Corp(11); National Express(9); Petermann Bus(9),national-platform,,0,A+,0
MARANATA SCHOOL BUS SERVICE,Maranata School Bus Svc Corp,221,very-large(50+),35,"CA,FL,WA,MO,TX,MI,NC,NJ",CA,5597,246973000,0,0,1998,1,0,0,,Paxway.Com,Not Available,Jenny Fernandez (Director),"Eva, AL","65 Mountain View Pvt Dr, Eva, AL 35621",Maranata School Bus Svc Corp(220); Maranata School Bus SVC(1),,large-independent,0,B+,1
STUDENT TRANSPORTATION OF AMER,Student Transportation-America,190,very-large(50+),26,"PA,NY,CA,CT,NJ,TX,NH,FL",PA,9156,338439000,3000,132995000,1914,1,1,1,STUDENT TRANSPORTATION OF AMER,Desertchoiceschools.Com,Not Available,Michael Edsall (Manager),"Hanford, CA","10045 91-8 Ave, Hanford, CA 93230",Student Transportation-America(85); Student Transportation Of Amer(42); Birnie Bus Svc(9); Ocean State Transit(5),national-platform,,1,A,0
ACCOUNTAX SCHOOL BUS ASB,Accountax School-Bus Asb,122,very-large(50+),38,"CA,TX,FL,NY,AZ,IN,MO,NC",CA,3315,141286000,0,0,,1,0,0,,Peopelpc.Com,Not Available,,"Birmingham, AL","622 Springs Ave, Birmingham, AL 35242",Accountax School-Bus Asb(122),,large-independent,0,A+,1
US COACHWAYS,US Coachways,61,very-large(50+),22,"SC,FL,TX,MI,NJ,NY,OH,CA",SC,306,30946000,0,0,,0,0,1,,Ghs.Org,(855) 287-2427,Mark Telmany (Owner),"Hartselle, AL","819 Highway 31 NW, Hartselle, AL 35640",US Coachways(59); US Coachways Inc(2),,large-independent,0,B,1
LAIDLAW EDUCATION SERVICE,Laidlaw Education Svc,60,very-large(50+),20,"MA,RI,NY,CT,CA,OH,OR,AK",MA,1136,50161000,0,0,2003,1,0,1,,Laidlaw.Com,(907) 822-4333,James Osgood (Manager),"Glennallen, AK","186.9 Glenn Hwy, Glennallen, AK 99588",Laidlaw Education Svc(60),national-platform,,0,B+,0
ACADEMY BUS,Academy Bus,58,very-large(50+),15,"NJ,FL,NY,MD,PA,MA,VA,CA",NJ,2328,193394000,7551,271552000,1968,1,0,1,ACADEMY BUS LLC,Academybus.Com,Not Available,Maraud Kraja (Manager),"Palo Alto, CA","3500 Deer Creek Rd, Palo Alto, CA 94304",Academy Bus(36); Academy Bus LLC(15); Academy Express LLC(4); Academy Express(3),,large-independent,0,A+,1
