rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
1,Fullington Auto Bus Co,PA,family-owned,independent (Fullington family; re-purchased 100% from RATP Dev in Dec 2017),"[""Michael (Mike) Fullington (Owner/COO)"", ""Lory Fullington (Co-owner)"", ""Judy Morrow (Manager - Hollidaysburg)""]",medium,1908,320,125,"[""school"", ""charter"", ""motorcoach/tours"", ""Trailways line runs"", ""limousine""]","[""Hollidaysburg Area SD (since 1998)"", ""Moshannon Valley SD (since 1990s)"", ""Clearfield Area SD"", ""approx. 6 Central PA school districts""]","Dec 2017: Michael & Lory Fullington re-purchased 100% of stock from RATP Dev, returning the company to single-Fullington family ownership for the first time since 1918; ~220 school buses across 6 districts (~30% of mix).",https://www.fullingtontours.com/,high,Strong PA platform-scale target (~220 school buses across 6 districts) in Summit's core PA geography. 3rd-gen family-owned; sole owner Mike Fullington previously sold majority to RATP Dev then bought back — has clear precedent for accepting outside capital. Mixed-model (school + motorcoach) may require carve-out.
3,Fullington School Bus,PA,family-owned,Subsidiary/division of Fullington Auto Bus Co (Mike & Lory Fullington),"[""Michael Fullington (Owner)"", ""Diane Wesesky (Manager, Clearfield)""]",medium,1908,100,152,"[""school"", ""field trips"", ""extracurricular""]","[""Clearfield Area SD"", ""Moshannon Valley SD"", ""approximately 5 local Clearfield/Centre/Jefferson county districts""]",Operates as the Clearfield-HQ school bus arm of Fullington Auto Bus Co; same 2017 100%-family-ownership reclamation applies (Mike & Lory Fullington bought back from RATP Dev).,https://www.fullingtontours.com/,high,Same Fullington family enterprise as rank #1 (likely duplicate/sister LLC at Clearfield HQ). Any approach should be consolidated with #1 — single conversation with Mike Fullington. Long-tenured rural Central PA contracts are attractive sticky revenue.
7,Handi Van Inc,FL,independent,independent,"[""Diana Fletcher (Manager per source data)""]",unknown,1984,unknown (likely 20-40 vans given 60 employees),60,"[""special-needs"", ""NEMT"", ""paratransit"", ""wheelchair transport""]",Miami-Dade special needs/wheelchair clientele; no specific public school district contracts confirmed,"No material M&A, growth, or litigation news identified in recent searches; minimal web footprint beyond directory listings.",https://handivan.com,low,"Small Miami-Dade paratransit/wheelchair operator (~$3.9M rev). Not core yellow-bus, but a possible SPED/NEMT bolt-on if Summit pursues Florida special-needs expansion. Low confidence on ownership succession; needs direct outreach. Note address overlap with several Miami wheelchair/paratransit operators - validate the entity."
10,F & S Transportation,PA,family-owned,independent,"[""Lea Newcomer (Owner)""]",medium,1976,136,100,"[""school"", ""special-needs"", ""charter"", ""van rental""]","[""School districts in York County PA"", ""Adams County PA"", ""Carroll County MD (incl. Northeastern SD area)""]",Site indicates ongoing operation with recent addition of wheelchair-accessible van rental; no M&A or litigation news surfaced.,https://hr31480.wixsite.com/fandstransportation,medium,Solid mid-size family-owned PA tuck-in with mixed school + charter + special-needs revenue and ~136 unit fleet in York/Adams counties; within Summit's PA expansion footprint and complementary to Fullington/McIlwain platform.
11,Randall Bus Svc,FL,family-owned,independent,"[""Sherman L. Randall (Owner/CEO/President)""]",medium,1942,30,40,"[""school"", ""charter"", ""church/community trips""]","[""Duval County Public Schools (Jacksonville)"", ""Northeast Florida and South Georgia charter customers""]",2021 News4Jax 'Positively Jax' feature highlighted Randall as Duval County's only African American-owned school bus operator and community charity work (shoe drive for students).,https://www.randalltransportation.com,medium,Multigenerational (80+ years) Duval County school-bus contractor with embedded DCPS relationship; small ~30-bus fleet limits standalone scale but offers minority-owned Jacksonville footprint and likely succession opportunity given founder family tenure.
12,Consolidated Bus Transit,NY,family-owned,independent,"[""Agnes Wroblewska (Controller)""]",unknown,1971,800,66,"[""school"", ""special-needs/handicapped"", ""charter"", ""paratransit""]","[""NYC Department of Education (general & special education routes across all five boroughs)""]","Company self-describes as a still-standing family-run business serving NYC 'for over 50 years' with ~25,000 students/day; no public M&A news surfaced.",https://consolidatedbustransit.com,medium,"Large NYC DOE contractor (25k+ daily students, Bronx + Brooklyn yards) — would be a platform-scale acquisition rather than tuck-in; private family ownership and 50-year tenure make it an attractive long-tail target if Summit pursues a NYC anchor, though revenue/headcount inputs in source data appear understated."
14,Golden Ring Transportation Inc,NY,independent,independent,"[""Yuriy Shabashkevich (President/Owner \u2014 Golden Ring Transportation Inc & affiliated Golden Ring Transit Inc)""]",medium,1993,35,35,"[""school"", ""charter""]","[""NYC Department of Education (listed on NYC DOE bus company roster for school-age children)"", ""Charter trips in 5 boroughs, Long Island, Westchester, Northern NJ""]",No M&A or litigation news surfaced; FMCSA registration since June 1995 for the transportation entity and March 2015 for affiliated Golden Ring Transit Inc (charter authority).,https://goldenringtransit.wordpress.com,medium,"Small (~35 unit) Brooklyn-based, owner-operator NYC DOE contractor with a charter sister entity; sub-scale on its own but a plausible add-on to a larger NYC platform — single-principal ownership (Shabashkevich) suggests potential succession window."
15,Wheelchair Transport Svc,FL,family-owned,independent (Williams family),"George B. Williams Sr. (founder); Bud Williams (VP Operations/Partner, 2nd generation)",medium,1972,,21,"[""NEMT"", ""paratransit"", ""wheelchair"", ""stretcher"", ""ambulatory""]","Florida West Coast (Pinellas/Tampa Bay); Optum/Evercare, VA benefits, private pay",Bud Williams named TLPA National Paratransit Operator of the Year (2013); company marketed 50+ years of operation on FL West Coast as of recent website copy.,https://www.wheelchairtransport.com/,medium,"NEMT/paratransit operator, not a school-bus contractor; only fits Summit if platform pursues special-needs/SPED-adjacent NEMT bolt-on. Otherwise out of scope."
16,Hulmes Transportation Svc LTD,MA,family-owned,independent,"[""Paul Anziano (President/Owner)""]",medium,1977,"unknown (van fleet, ~1200-series numbering used on PVTA routes pre-2018)",~210 (per source list; likely overstated given current scope),"[""senior transport"", ""ADA/paratransit"", ""disability transport"", ""fixed-route shuttle (historic)""]","[""Western MA seniors and disabled riders"", ""Belchertown/West Springfield/Greenfield/Pittsfield service areas"", ""Former PVTA fixed-route van subcontractor (Ware Shuttle, Palmer Shuttle, Nashawannuck Express) until 2018""]",Lost PVTA van subcontract to National Express in summer 2018; pivoted toward senior/disability door-to-door transport. Actively hiring drivers as of 2024-2025.,https://www.hulmestransportation.com/,medium,"Marginal fit as a school-bus tuck-in: business is primarily senior/ADA/paratransit, not yellow school bus. Could be of interest if Summit wants to expand into adjacent special-needs/NEMT verticals in Western MA, but does not match core student-transport thesis. Lost largest transit contract in 2018."
17,Logan Bus Co Inc,NY,family-owned,"independent (Logan family; Logan Bus Co. & Affiliates includes Little Richie Bus Service, Little Linda Bus Company, Logan Transportation Systems)","[""Richard Logan (Owner/CEO)"", ""Corey J. Muirhead (Executive Vice President)""]",low,1980,"~2,500 routes across affiliates (one of the largest NYC private school bus operators)","~3,500-4,000 across Logan Bus & Affiliates","[""school (NYC DOE general-ed and special-needs routes)"", ""SPED""]","[""NYC Department of Education (largest NYC private contractor)"", ""Facilities in Queens, Bronx, Brooklyn, Nassau County""]","Awarded ~$206M NYC DOE contract in 2020 despite past bribery-of-city-officials admission. First EV school bus on NYC streets and first NY operator to pilot stop-arm cameras. EVP Corey Muirhead named SBF Trailblazer 2023, NYSBCA past president. Actively negotiated 2023 NYC DOE contract extension averting strike.",http://www.loganbus.com/,high,"Far too large for a typical Summit tuck-in (likely $150M+ revenue, dominant NYC player). Not a tuck-in candidate — would be a platform-scale or transformative acquisition. Strong NYC DOE entrenchment plus past bribery-disclosure history makes it complex. Low succession risk given young, prominent EVP. Better treated as a long-shot strategic peer than a tuck-in."
