rank,score,canonical_name,primary_state,hq,size_tier,locations,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,credit_score,data_confidence,rationale,sample_address,_sf,_su,_ql,_ind,_rel
1,98.5,Northstar Bus Lines LLC,MN,"Maple Grove, MN",single,1,200,10161000,1962,1,0,Northstarbuslines.Com,(763) 425-2542,Matt Regan (Owner),A+,1.0,200 emp; $10.2M rev; est 1962 (64y); single; web+phone; school,"11800 95th Ave N, Maple Grove, MN 55369",100,100,100,100,90
2,98.5,Voigt's Bus,MN,"Minneapolis, MN",single,1,225,8968000,1947,1,0,Voigtbus.Com,(763) 785-8888,Dirk Judge (Manager),A+,1.0,225 emp; $9.0M rev; est 1947 (79y); single; web+phone; school,"1240 Osborne Rd NE, Minneapolis, MN 55432",100,100,100,100,90
3,98.5,Marschall Line,MN,"Farmington, MN",single,1,200,8689000,1945,1,0,Marschallline.Com,(651) 463-8689,Tom Severson (Finance Exec),A+,1.0,200 emp; $8.7M rev; est 1945 (81y); single; web+phone; school,"5119 212th St W, Farmington, MN 55024",100,100,100,100,90
4,98.5,Hallen School,NY,"New Rochelle, NY",single,1,162,8257000,1972,1,0,Thehallenschool.Net,(914) 636-6600,Jennifer Dicosimo (Director),A+,1.0,162 emp; $8.3M rev; est 1972 (54y); single; web+phone; school,"97 Centre Ave, New Rochelle, NY 10801",100,100,100,100,90
5,98.5,Mcllwain School Bus Line Inc,PA,"Johnstown, PA",single,1,130,7680000,1946,1,0,Mcilwainbus.Net,(814) 288-1594,Douglas R Mcilwain (President),A,1.0,130 emp; $7.7M rev; est 1946 (80y); single; web+phone; school,"1551 Ferndale Ave, Johnstown, PA 15905",100,100,100,100,90
6,98.5,Yellow Bird Co Inc,PA,"Philadelphia, PA",single,1,100,4798000,1980,1,0,Yellowbirdbus.Com,(215) 289-1022,Robert Hicks Jr (President),A+,1.0,100 emp; $4.8M rev; est 1980 (46y); single; web+phone; school,"7700 State Rd, Philadelphia, PA 19136",100,100,100,100,90
7,98.5,Jubb's Bus Svc,MD,"Glen Burnie, MD",single,1,100,4458000,1919,1,0,Jubbsbusservice.Com,(410) 766-1545,Christie Mcdevitt (Manager),A+,1.0,100 emp; $4.5M rev; est 1919 (107y); single; web+phone; school,"203 Holsum Way, Glen Burnie, MD 21060",100,100,100,100,90
8,98.5,Harlem Transportation,IL,"Machesney Park, IL",single,1,100,4271000,1910,1,0,Harlem122.Org,(815) 654-4633,Michael Slife (Exec Director),A+,1.0,100 emp; $4.3M rev; est 1910 (116y); single; web+phone; school,"820 Roosevelt Rd, Machesney Park, IL 61115",100,100,100,100,90
9,98.5,Peter Brega Inc,NY,"Valley Cottage, NY",single,1,80,4051000,1938,1,0,Peterbregainc.Com,(845) 268-6107,Peter Brega (Administrator),A+,1.0,80 emp; $4.1M rev; est 1938 (88y); single; web+phone; school,"500 Kings Hwy, Valley Cottage, NY 10989",100,100,100,100,90
10,98.5,Service Bus Tours,NY,"Yonkers, NY",single,1,75,3823000,1939,1,0,Servicetours.Com,(914) 423-3200,Sal Daipola (President),A+,1.0,75 emp; $3.8M rev; est 1939 (87y); single; web+phone; school,"756 Nepperhan Ave, Yonkers, NY 10703",100,100,100,100,90
11,98.5,Fayetteville Transportation,AR,"Fayetteville, AR",single,1,85,3566000,1972,1,0,District.Fayar.Net,(479) 444-3095,Tommy Davenport (Director),A+,1.0,85 emp; $3.6M rev; est 1972 (54y); single; web+phone; school,"2309 W Stone St, Fayetteville, AR 72701",100,100,100,100,90
12,98.5,Kelly's Transit,PA,"Dover, PA",single,1,90,3326000,1977,1,0,Kellytransit.Com,(717) 292-4531,Marvin Kelly (Owner),A+,1.0,90 emp; $3.3M rev; est 1977 (49y); single; web+phone; school,"10 N Main St, Dover, PA 17315",100,100,100,100,90
13,98.5,West County Transportation,CA,"Santa Rosa, CA",single,1,75,3224000,1968,1,0,Schoolbusing.Org,(707) 206-9988,Christine Chavez (Vice President),A+,1.0,75 emp; $3.2M rev; est 1968 (58y); single; web+phone; school,"367 W Robles Ave, Santa Rosa, CA 95407",100,100,100,100,90
14,98.5,Via Mobility,CO,"Denver, CO",single,1,70,3157000,1979,1,0,Viacolorado.Org,(303) 227-0281,Nancy Sanders (Board Member),A+,1.0,70 emp; $3.2M rev; est 1979 (47y); single; web+phone; school,"6500 Franklin St # C, Denver, CO 80229",100,100,100,100,90
15,98.5,Jennings Transportation,PA,"Nazareth, PA",single,1,82,3157000,1973,1,0,Jenningstranscorp.Com,(610) 759-7094,Jan Ochs (Owner),A+,1.0,82 emp; $3.2M rev; est 1973 (53y); single; web+phone; school,"129 Meyer Rd, Nazareth, PA 18064",100,100,100,100,90
16,98.5,Bedford Charter Svc,MA,"Bedford, MA",single,1,50,2428000,1956,1,0,Bedfordcharterservice.Com,(781) 275-9524,John Martines (Owner),A+,1.0,50 emp; $2.4M rev; est 1956 (70y); single; web+phone; school,"11 Railroad Ave, Bedford, MA 01730",100,100,100,100,90
17,98.5,D W Clark & Son,NJ,"Franklin, NJ",single,1,45,1968000,1968,1,0,Dwclark.Com,(973) 827-7640,Jerry Houghtaling (President),A+,1.0,45 emp; $2.0M rev; est 1968 (58y); single; web+phone; school,"3010 State Rt 23 # A, Franklin, NJ 07416",100,100,100,100,90
