a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
1,,A,Fullington Auto Bus Co,PA,"Hollidaysburg, PA",99.0,1.0,87,114,1908,agent,120909,ACTIVE,Satisfactory,family-owned,independent (Fullington family; re-purchased 100% from RATP Dev in Dec 2017),"[""Michael (Mike) Fullington (Owner/COO)"", ""Lory Fullington (Co-owner)"", ""Judy Morrow (Manager - Hollidaysburg)""]",medium,"[""school"", ""charter"", ""motorcoach/tours"", ""Trailways line runs"", ""limousine""]","[""Hollidaysburg Area SD (since 1998)"", ""Moshannon Valley SD (since 1990s)"", ""Clearfield Area SD"", ""approx. 6 Central PA school districts""]","Dec 2017: Michael & Lory Fullington re-purchased 100% of stock from RATP Dev, returning the company to single-Fullington family ownership for the first time since 1918; ~220 school buses across 6 districts (~30% of mix).",https://www.fullingtontours.com/,mid(6-14),125,6164000,Strong PA platform-scale target (~220 school buses across 6 districts) in Summit's core PA geography. 3rd-gen family-owned; sole owner Mike Fullington previously sold majority to RATP Dev then bought back — has clear precedent for accepting outside capital. Mixed-model (school + motorcoach) may require carve-out.,100,100,100,100,100,90,1
2,,A,F & S Transportation,PA,"Manchester, PA",99.0,1.0,136,88,1975,agent,239615,Active (FMCSA Authority active since Nov 1983),Satisfactory,family-owned,independent,"[""Lea Newcomer (Owner)""]",medium,"[""school"", ""special-needs"", ""charter"", ""van rental""]","[""School districts in York County PA"", ""Adams County PA"", ""Carroll County MD (incl. Northeastern SD area)""]",Site indicates ongoing operation with recent addition of wheelchair-accessible van rental; no M&A or litigation news surfaced.,https://hr31480.wixsite.com/fandstransportation,small(2-5),60,3420000,Solid mid-size family-owned PA tuck-in with mixed school + charter + special-needs revenue and ~136 unit fleet in York/Adams counties; within Summit's PA expansion footprint and complementary to Fullington/McIlwain platform.,100,100,100,100,100,90,10
3,,A,Randall Bus Svc,FL,"Jacksonville, FL",99.0,1.0,30,30,1942,census(medium),1693009,A,,family-owned,independent,"[""Sherman L. Randall (Owner/CEO/President)""]",medium,"[""school"", ""charter"", ""church/community trips""]","[""Duval County Public Schools (Jacksonville)"", ""Northeast Florida and South Georgia charter customers""]",2021 News4Jax 'Positively Jax' feature highlighted Randall as Duval County's only African American-owned school bus operator and community charity work (shoe drive for students).,https://www.randalltransportation.com,small(2-5),40,2805000,Multigenerational (80+ years) Duval County school-bus contractor with embedded DCPS relationship; small ~30-bus fleet limits standalone scale but offers minority-owned Jacksonville footprint and likely succession opportunity given founder family tenure.,100,100,100,100,100,90,11
4,,A,Peter Brega Inc,NY,"Valley Cottage, NY",99.0,1.0,85,77,1938,census(high),238132,A,S,family-owned,independent,"[""Peter Brega (founder, d. 1985)"", ""Peter Brega's four sons (current owners since ~1985)""]",high,"[""school"", ""charter"", ""field trips"", ""athletic teams"", ""summer camps""]","[""Nanuet School District"", ""Nyack School District"", ""South Orangetown School District"", ""private and parochial schools in Rockland County, NY""]",Active hiring for school bus and van drivers (Glassdoor); no M&A or sale news surfaced. Second-generation (Peter's four sons) have been running the business since 1985 — owners now likely in or near retirement age.,http://www.peterbregainc.com,single,80,4051000,"High-fit tuck-in: ~80-bus Rockland County NY operator with stable contracts at three school districts (Nanuet, Nyack, South Orangetown) plus private/parochial coverage — in Summit's NY/NJ core footprint. Second-generation family (four brothers since 1985) likely approaching succession; long contract history with stable suburban districts is exactly the predictable revenue base Summit looks for.",100,100,100,100,100,90,25
5,,A,Leon George II School Buses,PA,"Palmerton, PA",99.0,1.0,26,33,1948,census(high),1506217,A,S,family-owned,independent,"[""Leon A. George II (Owner)"", ""Danielle George""]",medium,"[""school"", ""charter""]","[""Palmerton Area School District"", ""Lehighton Area School District"", ""Jim Thorpe Area School District"", ""Carbon Career & Technical Institute (CCTI)""]","No recent M&A news. Operates two PA locations (Palmerton + Lehighton, the second added 1995). Business has shifted from charter-focused to predominantly school routes per family history page.",https://lgschoolbuses.com/,single,35,1035000,"Classic small-PA family tuck-in: 2nd-gen owner Leon II since 1989, 3-4 contiguous Carbon/Lehigh county district contracts, multi-location footprint. Succession signal medium (owner likely 50s-60s, no clear 3rd-gen successor mentioned). Good geographic fit for Summit's PA expansion.",100,100,100,100,100,90,33
6,,A,Smyth Buss Co,NY,"New York, NY",99.0,1.0,102,78,1973,agent,245332,ACTIVE,Satisfactory,family-owned,independent (Smyth family),"[""Bob Smyth (Owner, acquired 2017)"", ""F. Edwin Smyth (Founder, deceased)"", ""Dick Smyth (former owner, deceased 2015)""]",medium,"[""school"", ""charter""]","[""Enfield Public Schools (CT)"", ""East Windsor Public Schools (CT)"", ""Windsor Locks Public Schools (CT)"", ""Howell Cheney Technical School"", ""Suffield VOAG""]",Founder's son Dick Smyth died unexpectedly in 2015; brother Bob Smyth acquired the company in 2017. Named a 'Great Fleet Across America' by School Bus Fleet magazine. No 2024-2026 M&A signals found.,https://www.smythbusct.com/,single,16,672000,"Note: source record lists state as NY but company is actually Enfield, CT-based — relevant to Summit's New England footprint. Solid ~150-bus contractor with multi-district base; second-generation owner (Bob Smyth) inherited via family transition, modest succession risk over medium term. Attractive tuck-in profile.",100,100,100,100,100,90,35
7,,A,Academy Business Co Inc,NY,"Yonkers, NY",99.0,1.0,89,76,1961,census(high),170246,A,S,independent,independent,"[""Robert (Bob) Sturtevant (President/Owner)""]",high,"[""school"", ""charter"", ""coach""]","[""schools in Yonkers/Westchester County area (specific contracts not publicly disclosed)""]","Long-tenured Yonkers operator (~65 years in business as of 2026) under single owner Robert Sturtevant; not affiliated with the larger NJ-based Academy Bus Lines. No public M&A activity. A+ BBB rating, not accredited.",https://academybusco.com/,single,70,3568000,"Plausible Summit tuck-in: 65-year-old single-owner Yonkers/Westchester operator under Bob Sturtevant — long-tenured solo principal flags strong succession potential. Westchester County is a dense, contract-rich market adjacent to Summit's NY/Tri-State footprint. Size is modest but proximity and clear owner-driven succession dynamic make it worth a direct outreach.",100,100,100,100,100,90,84
8,,A,Levy School Bus Co,PA,"Lewes, DE",99.0,1.0,66,62,1926,census(medium),952921,A,,family-owned,"independent (Levy family, 4th generation)","[""Warren Levy Jr. (current head of Management Team, 4th gen)"", ""Warren M. Levy (3rd gen, prior leader)"", ""B. Franklin Levy (2nd gen, retired 1988)"", ""Warren B. Levy (founder, 1927)"", ""Michelle Larrabee (per source data, role unverified)""]",medium,"[""school"", ""charter"", ""limousine/airport (via Lazer Limousine)""]","[""Quakertown Community School District"", ""Dock Mennonite Academy"", ""Faith Christian Academy"", ""Salisbury Township School District (via Paragon Transit acquisition)"", ""Other Bucks/Montgomery/Lehigh County private/parochial schools \u2014 ~20,000 students""]","2021: Acquired Paragon Transit (Salisbury SD routes). 2016: Acquired Lazer Limousine, expanding into charter/airport services. Celebrating ~99 years in 2026.",https://www.levybus.com/,mid(6-14),422,22638000,"Strong Summit tuck-in candidate: 4th-generation family-owned PA contractor with ~250 buses, ~20,000 students, multiple SE PA district contracts (Quakertown anchor), and a recent acquisitive track record. Multi-generational ownership and ~100-year milestone create potential succession/liquidity event window.",100,100,100,100,100,90,122
9,,A,Educational Bus Trnsprtn Inc,NY,"Hillburn, NY",99.0,1.0,133,62,1962,census(medium),1209549,A,,family-owned,The Trans Group LLC (Corr family),"[""John Corr Jr. (CEO, The Trans Group)"", ""Sean Corr (President, Educational Bus Transportation - 3rd generation)"", ""John Corr Sr. (founder, deceased/retired)""]",low,"[""school"", ""special-needs"", ""charter"", ""transit""]","[""Copiague"", ""Massapequa"", ""Amityville"", ""Seaford"", ""Wantagh"", ""Farmingdale"", ""South Huntington"", ""Half Hollow Hills"", ""Bethpage"", ""Hicksville""]","Sean Corr (3rd-generation) named President of Educational Bus Transportation; Trans Group operates 1,300+ vehicles across NY; family-owned platform with no PE involvement noted as of 2024-2025.",thetransgroup.com,small(2-5),152,6637000,"Largest sub of family-owned Trans Group (~861 power units at EBT alone, 1,300+ across group). 3rd-generation succession recently executed (Sean Corr president), so near-term sale less likely; would be a platform-scale add rather than a small tuck-in. Strong NY/Long Island district book that complements Summit's NE footprint.",100,100,100,100,100,90,151
10,,A,Eschbach Bus Svc,PA,"Holtwood, PA",99.0,1.0,150,150,1975,census(medium),387575,A,,family-owned,independent,"[""David Eschbach III (Owner, transitioning toward retirement)"", ""Jake Menapace (President since 2014, son-in-law of David Eschbach III)"", ""Stoney Eschbach (prior generation)"", ""David Eschbach Sr. (founder of school-bus pivot)""]",high,"[""school"", ""charter""]","[""Penn Manor School District"", ""Solanco School District"", ""Lancaster County Career & Technology Center"", ""Surrounding Southern Lancaster County districts""]","4th-generation family business, 80+ years in operation. David Eschbach III spent ~8 years training son-in-law Jake Menapace as successor; Menapace named President in 2014 and has run day-to-day since 2010. Per 2021 LancasterOnline coverage during driver shortage: ~150 buses, ~140 drivers. ~50% of employees have 10+ year tenure.",eschbachbus.com,small(2-5),162,11694000,"Strong tuck-in candidate. Largest school bus provider in Southern Lancaster County, ~150 buses, anchor multi-year contracts with Penn Manor and Solanco, 4th-gen owner publicly transitioning to son-in-law — clear succession dynamic. PA is a Summit expansion state with consolidating market; high strategic fit on geography, scale (~$12M revenue), and contract stickiness.",100,100,100,100,100,90,160
