a_rank_overlay,bench_rank_overlay,track,company,state,hq,w4_composite,overlay_pts_sum,overlay_composite,data_confidence,sub_sector_derived,scale_tier_derived,fleet_buses,drivers,founded,fmcsa_source,usdot,_sf,_su,_geo,_ind,_oh,_rel,composite,a_rank,bench_rank,valuation_attractiveness_pts,valuation_attractiveness_cite,valuation_attractiveness_flag,size_margin_signal_pts,size_margin_signal_cite,size_margin_signal_flag,succession_pts,succession_cite,succession_flag,driver_market_risk_pts,driver_market_risk_cite,driver_market_risk_flag,outsourcing_ev_mandate_pts,outsourcing_ev_mandate_cite,outsourcing_ev_mandate_flag,contract_renewal_timing_pts,contract_renewal_timing_cite,contract_renewal_timing_flag,ut_expansion_bonus_pts,ut_expansion_bonus_cite,ut_expansion_bonus_flag,iv_fleet_used,iv_fleet_source,iv_rev_low,iv_rev_point,iv_rev_high,iv_ebitda_low,iv_ebitda_point,iv_ebitda_high,iv_ev_mult_entry_low,iv_ev_mult_entry_point,iv_ev_mult_entry_high,iv_ev_perbus_low,iv_ev_perbus_point,iv_ev_perbus_high,iv_ev_entry_consensus_low,iv_ev_entry_consensus_high,iv_ev_build_8x_point,iv_value_creation_spread_point,iv_flag,iv_citation,da_revenue_est,da_employees,web_employees_est,da_size_tier,web_ownership_type,web_owner_or_parent,web_succession_signal,web_service_types,web_districts_or_customers,web_website
1,,A,Eschbach Bus Svc,PA,"Holtwood, PA",99.0,56.0,155.0,1.0,Y,50-250,150,150,1975,census(medium),387575,100,100,100,100,100,90,99.0,10,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1975 (business age=51y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,150,census(medium),11700000,14700000,16950000,1813500,2940000,5763000,5440500,11760000,28815000,10050000,15000000,19500000,10050000,19500000,23520000,11760000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),11694000,162,162,small(2-5),family-owned,independent,high,"[""school"", ""charter""]","[""Penn Manor School District"", ""Solanco School District"", ""Lancaster County Career & Technology Center"", ""Surrounding Southern Lancaster County districts""]",eschbachbus.com
2,,A,Susquehanna Transit Co,PA,"Blanchard, PA",99.0,56.0,155.0,1.0,Y,50-250,130,135,1936,census(medium),228494,100,100,100,100,100,90,99.0,20,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1936 (business age=90y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,130,census(medium),10140000,12740000,14690000,1571700,2548000,4994600,4715100,10192000,24973000,8710000,13000000,16900000,8710000,16900000,20384000,10192000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),781000,22,,single,independent,independent,medium,"[""school"", ""charter (Susquehanna Trailways motorcoach)"", ""handicap/SPED-equipped""]","[""Keystone Central SD"", ""Multiple central PA districts (~4 contracted)""]",https://susquehannabus.com/
3,,A,Myers Transportation,PA,"Swissvale, PA",99.0,56.0,155.0,1.0,Y,50-250,118,74,1950,census(medium),4114410,100,100,100,100,100,90,99.0,22,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1950 (business age=76y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,118,census(medium),9204000,11564000,13334000,1426620,2312800,4533560,4279860,9251200,22667800,7906000,11800000,15340000,7906000,15340000,18502400,9251200,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),504000,12,12,single,family-owned,independent,medium,"[""school"", ""charter""]","[""Pittsburgh Public Schools (confirmed carrier; Myers buses include unit L401)"", ""Woodland Hills area districts (Swissvale terminal)"", ""Westmoreland County schools out of Export and Latrobe PA bases""]",https://www.myerstran.com/
4,,A,Levy School Bus Co,PA,"Lewes, DE",99.0,52.0,151.0,1.0,Y,50-250,66,62,1926,census(medium),952921,100,100,100,100,100,90,99.0,8,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,16.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1926 (business age=100y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,66,census(medium),5148000,6468000,7458000,797940,1293600,2535720,2393820,5174400,12678600,4422000,6600000,8580000,4422000,8580000,10348800,5174400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),22638000,422,422,mid(6-14),family-owned,"independent (Levy family, 4th generation)",medium,"[""school"", ""charter"", ""limousine/airport (via Lazer Limousine)""]","[""Quakertown Community School District"", ""Dock Mennonite Academy"", ""Faith Christian Academy"", ""Salisbury Township School District (via Paragon Transit acquisition)"", ""Other Bucks/Montgomery/Lehigh County private/parochial schools \u2014 ~20,000 students""]",https://www.levybus.com/
5,,A,Muccio School Trnsprtn LLC,PA,"Saint Marys, PA",99.0,52.0,151.0,0.8,Y,50-250,56,56,1976,census(high),2933591,100,100,100,100,100,90,99.0,30,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,16.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1976 (business age=50y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,56,census(high),4368000,5488000,6328000,677040,1097600,2151520,2031120,4390400,10757600,3752000,5600000,7280000,3752000,7280000,8780800,4390400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),504000,12,73,single,family-owned,independent,medium,"[""school""]","[""Saint Marys Area School District (likely)"", ""Operations across St. Marys, Johnsonburg, Port Allegany, and Tionesta, PA""]",
6,,A,Dean Transportation,MI,"Grand Rapids, MI",95.5,53.0,148.5,1.0,S,50-250,87,87,1950,census(medium),1538328,100,100,70,100,100,100,95.5,54,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,15,master_targets.founded=1950 (business age=76y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,87,census(medium),7830000,9135000,9831000,1800900,2466450,3342540,5402700,9865800,16712700,5829000,8700000,11310000,5829000,11310000,19731600,9865800,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),26260000,495,2400,mid(6-14),family-owned,independent (Dean family),medium,"[""school"", ""special-needs/SPED"", ""public transit"", ""charter (Dean Trailways)""]","[""80,000+ MI students daily across 46 locations"", ""Grand Rapids Public Schools and many MI districts"", ""Michigan public transit agencies""]",https://deandifference.com
7,,A,Leon George II School Buses,PA,"Palmerton, PA",99.0,46.0,145.0,1.0,Y,<50,26,33,1948,census(high),1506217,100,100,100,100,100,90,99.0,5,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1948 (business age=78y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,26,census(high),2028000,2548000,2938000,314340,509600,998920,943020,2038400,4994600,1742000,2600000,3380000,1742000,3380000,4076800,2038400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),1035000,35,35,single,family-owned,independent,medium,"[""school"", ""charter""]","[""Palmerton Area School District"", ""Lehighton Area School District"", ""Jim Thorpe Area School District"", ""Carbon Career & Technical Institute (CCTI)""]",https://lgschoolbuses.com/
8,,A,George's Transportation Co,PA,"Lehighton, PA",99.0,46.0,145.0,1.0,Y,<50,27,30,1948,census(high),1537517,100,100,100,100,100,90,99.0,11,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1948 (business age=78y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,27,census(high),2106000,2646000,3051000,326430,529200,1037340,979290,2116800,5186700,1809000,2700000,3510000,1809000,3510000,4233600,2116800,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),888000,30,49,single,family-owned,independent,medium,"[""school"", ""charter"", ""field-trip"", ""sports""]","Palmerton Area School District, Lehighton Area School District, Carbon Career & Technical Institute (Carbon County, PA)",https://lgschoolbuses.com
9,,A,Campbell Bus Lines,PA,"Slippery Rock, PA",99.0,46.0,145.0,1.0,Y,<50,25,41,1970,census(high),261521,100,100,100,100,100,90,99.0,14,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1970 (business age=56y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,25,census(high),1950000,2450000,2825000,302250,490000,960500,906750,1960000,4802500,1675000,2500000,3250000,1675000,3250000,3920000,1960000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),4995000,135,135,small(2-5),family-owned,"independent (Buco Transportation, Inc. dba Campbell Bus Lines)",medium,"[""motorcoach/charter"", ""school bus (home-to-school)"", ""collegiate athletics charter""]",Two PA school districts (home-to-school); Youngstown State University athletics; Grove City College; Slippery Rock University,https://campbelltours.com/
10,,A,Nelson Garage,PA,"Connellsville, PA",99.0,46.0,145.0,1.0,Y,<50,12,15,1951,census(medium),1734295,100,100,100,100,100,90,99.0,17,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1951 (business age=75y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,12,census(medium),936000,1176000,1356000,145080,235200,461040,435240,940800,2305200,804000,1200000,1560000,804000,1560000,1881600,940800,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),4138000,120,90,single,family-owned,independent,medium,school bus contracting; charter (T.A. Nelson Coach Lines affiliate),Frazier School District; Connellsville-area routes; Geibel Catholic school services,https://www.facebook.com/tanelsoncoachlines/
