track,a_rank,bench_rank,company,factor,reason,sub_sector,scale_tier,geo
A,1,,Fullington Auto Bus Co,size_margin_signal,no_verified_fleet,Y,50-250,PA
A,1,,Fullington Auto Bus Co,driver_market_risk,national_only_no_state_signal,Y,50-250,PA
A,2,,F & S Transportation,size_margin_signal,no_verified_fleet,Y,50-250,PA
A,2,,F & S Transportation,driver_market_risk,national_only_no_state_signal,Y,50-250,PA
A,3,,Randall Bus Svc,driver_market_risk,national_only_no_state_signal,Y,<50,FL
A,4,,Peter Brega Inc,driver_market_risk,national_only_no_state_signal,Y,50-250,NY
A,5,,Leon George II School Buses,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,6,,Smyth Buss Co,size_margin_signal,no_verified_fleet,Y,50-250,NY
A,6,,Smyth Buss Co,driver_market_risk,national_only_no_state_signal,Y,50-250,NY
A,7,,Academy Business Co Inc,driver_market_risk,national_only_no_state_signal,Y,50-250,NY
A,8,,Levy School Bus Co,driver_market_risk,national_only_no_state_signal,Y,50-250,PA
A,9,,Educational Bus Trnsprtn Inc,driver_market_risk,national_only_no_state_signal,Y,50-250,NY
A,10,,Eschbach Bus Svc,driver_market_risk,national_only_no_state_signal,Y,50-250,PA
A,11,,George's Transportation Co,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,12,,Nichols Bus,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,13,,Kip's Bus Svc,size_margin_signal,no_verified_fleet,Y,<50,PA
A,13,,Kip's Bus Svc,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,14,,Campbell Bus Lines,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,15,,Carefor Bus Co,size_margin_signal,no_verified_fleet,Y,50-250,NY
A,15,,Carefor Bus Co,driver_market_risk,national_only_no_state_signal,Y,50-250,NY
A,16,,Sunrise Busses Inc,driver_market_risk,national_only_no_state_signal,Y,<50,NY
A,17,,Nelson Garage,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,18,,Newburgh Beacon Bus Corp,driver_market_risk,national_only_no_state_signal,Y,<50,NY
A,19,,P Benowitz,size_margin_signal,no_verified_fleet,Y,<50,NY
A,19,,P Benowitz,driver_market_risk,national_only_no_state_signal,Y,<50,NY
A,20,,Susquehanna Transit Co,driver_market_risk,national_only_no_state_signal,Y,50-250,PA
A,21,,Jacoby,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,22,,Myers Transportation,driver_market_risk,national_only_no_state_signal,Y,50-250,PA
A,23,,Durrin Inc,driver_market_risk,national_only_no_state_signal,Y,<50,NY
A,24,,Penny Transportation,driver_market_risk,national_only_no_state_signal,Y,<50,NY
A,25,,Briarcliff Bus Co Inc,driver_market_risk,national_only_no_state_signal,Y,<50,NY
A,26,,Coulter Bus Svc Inc,driver_market_risk,national_only_no_state_signal,Y,<50,MO
A,27,,Hegins Valley Lines,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,28,,Bowman Brothers Trucking Inc,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,29,,Bower Bus Co,driver_market_risk,national_only_no_state_signal,Y,<50,PA
A,30,,Muccio School Trnsprtn LLC,driver_market_risk,national_only_no_state_signal,Y,50-250,PA
A,31,,Leland F Harris Inc,driver_market_risk,national_only_no_state_signal,Y,<50,NY
