a_rank,slug,company,state,hq,fleet_buses,founded,composite,folder,researched,research_date,packet_path,facts_path,draft_path,reviewed,sent,notes
1,0001-fullington-auto-bus-co,Fullington Auto Bus Co,PA,"Hollidaysburg, PA",87,1908,99.0,6_targets/0001-fullington-auto-bus-co,0,,,,,0,0,
2,0002-f-s-transportation,F & S Transportation,PA,"Manchester, PA",136,1975,99.0,6_targets/0002-f-s-transportation,0,,,,,0,0,
3,0003-randall-bus-svc,Randall Bus Svc,FL,"Jacksonville, FL",30,1942,99.0,6_targets/0003-randall-bus-svc,0,,,,,0,0,
4,0004-peter-brega-inc,Peter Brega Inc,NY,"Valley Cottage, NY",85,1938,99.0,6_targets/0004-peter-brega-inc,0,,,,,0,0,
5,0005-leon-george-ii-school-buses,Leon George II School Buses,PA,"Palmerton, PA",26,1948,99.0,6_targets/0005-leon-george-ii-school-buses,0,,,,,0,0,
6,0006-smyth-buss-co,Smyth Buss Co,NY,"New York, NY",102,1973,99.0,6_targets/0006-smyth-buss-co,0,,,,,0,0,
7,0007-academy-business-co-inc,Academy Business Co Inc,NY,"Yonkers, NY",89,1961,99.0,6_targets/0007-academy-business-co-inc,0,,,,,0,0,
8,0008-levy-school-bus-co,Levy School Bus Co,PA,"Lewes, DE",66,1926,99.0,6_targets/0008-levy-school-bus-co,0,,,,,0,0,
9,0009-educational-bus-trnsprtn-inc,Educational Bus Trnsprtn Inc,NY,"Hillburn, NY",133,1962,99.0,6_targets/0009-educational-bus-trnsprtn-inc,0,,,,,0,0,
10,0010-eschbach-bus-svc,Eschbach Bus Svc,PA,"Holtwood, PA",150,1975,99.0,6_targets/0010-eschbach-bus-svc,0,,,,,0,0,
11,0011-george-s-transportation-co,George's Transportation Co,PA,"Lehighton, PA",27,1948,99.0,6_targets/0011-george-s-transportation-co,0,,,,,0,0,
12,0012-nichols-bus,Nichols Bus,PA,"Fleetville, PA",10,1941,99.0,6_targets/0012-nichols-bus,0,,,,,0,0,
13,0013-kip-s-bus-svc,Kip's Bus Svc,PA,"Curwensville, PA",21,1967,99.0,6_targets/0013-kip-s-bus-svc,0,,,,,0,0,
14,0014-campbell-bus-lines,Campbell Bus Lines,PA,"Slippery Rock, PA",25,1970,99.0,6_targets/0014-campbell-bus-lines,0,,,,,0,0,
15,0015-carefor-bus-co,Carefor Bus Co,NY,"Brooklyn, NY",83,1971,99.0,6_targets/0015-carefor-bus-co,0,,,,,0,0,
16,0016-sunrise-busses-inc,Sunrise Busses Inc,NY,"Greenport, NY",20,1937,99.0,6_targets/0016-sunrise-busses-inc,0,,,,,0,0,
17,0017-nelson-garage,Nelson Garage,PA,"Connellsville, PA",12,1951,99.0,6_targets/0017-nelson-garage,0,,,,,0,0,
18,0018-newburgh-beacon-bus-corp,Newburgh Beacon Bus Corp,NY,"New Windsor, NY",10,1934,99.0,6_targets/0018-newburgh-beacon-bus-corp,0,,,,,0,0,
19,0019-p-benowitz,P Benowitz,NY,"Brooklyn, NY",42,1974,99.0,6_targets/0019-p-benowitz,0,,,,,0,0,
