rank,score,canonical_name,primary_state,hq,size_tier,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,verdict_conf,verdict_reason,rationale,sample_address
1,98.5,Northstar Bus Lines LLC,MN,"Maple Grove, MN",single,200,10161000,1962,1,0,Northstarbuslines.Com,(763) 425-2542,Matt Regan (Owner),0.97,LLC school bus line operator,200 emp; $10.2M rev; est 1962 (64y); single; web+phone; school,"11800 95th Ave N, Maple Grove, MN 55369"
2,98.5,Voigt's Bus,MN,"Minneapolis, MN",single,225,8968000,1947,1,0,Voigtbus.Com,(763) 785-8888,Dirk Judge (Manager),0.97,Family-named private school bus operator,225 emp; $9.0M rev; est 1947 (79y); single; web+phone; school,"1240 Osborne Rd NE, Minneapolis, MN 55432"
3,98.5,Marschall Line,MN,"Farmington, MN",single,200,8689000,1945,1,0,Marschallline.Com,(651) 463-8689,Tom Severson (Finance Exec),0.93,Family-named private bus line,200 emp; $8.7M rev; est 1945 (81y); single; web+phone; school,"5119 212th St W, Farmington, MN 55024"
5,98.5,Mcllwain School Bus Line Inc,PA,"Johnstown, PA",single,130,7680000,1946,1,0,Mcilwainbus.Net,(814) 288-1594,Douglas R Mcilwain (President),0.98,Inc school bus line contractor,130 emp; $7.7M rev; est 1946 (80y); single; web+phone; school,"1551 Ferndale Ave, Johnstown, PA 15905"
6,98.5,Yellow Bird Co Inc,PA,"Philadelphia, PA",single,100,4798000,1980,1,0,Yellowbirdbus.Com,(215) 289-1022,Robert Hicks Jr (President),0.93,Inc private school bus operator,100 emp; $4.8M rev; est 1980 (46y); single; web+phone; school,"7700 State Rd, Philadelphia, PA 19136"
7,98.5,Jubb's Bus Svc,MD,"Glen Burnie, MD",single,100,4458000,1919,1,0,Jubbsbusservice.Com,(410) 766-1545,Christie Mcdevitt (Manager),0.96,Family-named bus service company,100 emp; $4.5M rev; est 1919 (107y); single; web+phone; school,"203 Holsum Way, Glen Burnie, MD 21060"
9,98.5,Peter Brega Inc,NY,"Valley Cottage, NY",single,80,4051000,1938,1,0,Peterbregainc.Com,(845) 268-6107,Peter Brega (Administrator),0.95,Family-named Inc bus contractor,80 emp; $4.1M rev; est 1938 (88y); single; web+phone; school,"500 Kings Hwy, Valley Cottage, NY 10989"
10,98.5,Service Bus Tours,NY,"Yonkers, NY",single,75,3823000,1939,1,0,Servicetours.Com,(914) 423-3200,Sal Daipola (President),0.9,Private bus/tours operator,75 emp; $3.8M rev; est 1939 (87y); single; web+phone; school,"756 Nepperhan Ave, Yonkers, NY 10703"
12,98.5,Kelly's Transit,PA,"Dover, PA",single,90,3326000,1977,1,0,Kellytransit.Com,(717) 292-4531,Marvin Kelly (Owner),0.95,Family-named transit operator,90 emp; $3.3M rev; est 1977 (49y); single; web+phone; school,"10 N Main St, Dover, PA 17315"
14,98.5,Via Mobility,CO,"Denver, CO",single,70,3157000,1979,1,0,Viacolorado.Org,(303) 227-0281,Nancy Sanders (Board Member),0.7,Nonprofit paratransit/mobility operator,70 emp; $3.2M rev; est 1979 (47y); single; web+phone; school,"6500 Franklin St # C, Denver, CO 80229"
15,98.5,Jennings Transportation,PA,"Nazareth, PA",single,82,3157000,1973,1,0,Jenningstranscorp.Com,(610) 759-7094,Jan Ochs (Owner),0.93,Private trans corp contractor,82 emp; $3.2M rev; est 1973 (53y); single; web+phone; school,"129 Meyer Rd, Nazareth, PA 18064"
16,98.5,Bedford Charter Svc,MA,"Bedford, MA",single,50,2428000,1956,1,0,Bedfordcharterservice.Com,(781) 275-9524,John Martines (Owner),0.94,Private charter bus service,50 emp; $2.4M rev; est 1956 (70y); single; web+phone; school,"11 Railroad Ave, Bedford, MA 01730"
17,98.5,D W Clark & Son,NJ,"Franklin, NJ",single,45,1968000,1968,1,0,Dwclark.Com,(973) 827-7640,Jerry Houghtaling (President),0.95,Family-owned school bus contractor,45 emp; $2.0M rev; est 1968 (58y); single; web+phone; school,"3010 State Rt 23 # A, Franklin, NJ 07416"
18,98.5,Cloquet Transit Co,MN,"Cloquet, MN",single,50,1691000,1973,1,0,Cloquettransit.Com,(218) 879-1291,Jeff Lane (CEO),0.93,Private transit company,50 emp; $1.7M rev; est 1973 (53y); single; web+phone; school,"1203 Avenue B, Cloquet, MN 55720"
22,98.5,Lincoln Coach Lines,PA,"Hanover, PA",single,30,1109000,1947,1,0,Lincolnbus.Co.Uk,(717) 637-7104,Sharon Eden (Manager),0.92,Private coach line operator,30 emp; $1.1M rev; est 1947 (79y); single; web+phone; school,"340 Poplar St, Hanover, PA 17331"
23,98.5,Watson,PA,"New Wilmington, PA",single,25,1049000,1939,1,0,Watson-Inc.Com,(724) 946-8555,Keri Mcgary (Manager),0.7,Watson Inc bus service operator,25 emp; $1.0M rev; est 1939 (87y); single; web+phone; school,"3132 State Route 208, New Wilmington, PA 16142"
28,96.2,Paratransit Inc,CA,,single,250,17532000,1978,0,1,Paratransit.Org,(916) 429-2009,Tiffany Fink (CEO),0.7,"Paratransit operator, likely nonprofit but contractor-like",250 emp; $17.5M rev; est 1978 (48y); single; web+phone; special-needs,
29,96.2,Hulmes Transportation Svc LTD,MA,"Belchertown, MA",single,210,13254000,1976,0,1,Hulmestransportation.Com,(413) 323-6100,Paul Anziano (Owner),0.92,Private special-needs transportation service company,210 emp; $13.3M rev; est 1976 (50y); single; web+phone; special-needs,"15 Bridge St, Belchertown, MA 01007"
